"company","latitude","longitude","biz_type","naics8_descriptions"
"HOSFELT GALLERY",37.7665,-122.4067,"art","ART DEALERS"
"30SVN",37.768263,-122.417486,"barber","BARBER SHOPS"
"KINGS MARKET",37.756104,-122.409689,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MISSION GROCETERIA",37.754479,-122.411299,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BAYSHORE FARMERS MKT",37.743065,-122.40554,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ART WITH IMPACT",37.739004,-122.409146,"art","ART DEALERS"
"SAM CHUN GROCERY & FOOD",37.795181,-122.418503,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"STUDIO GALLERY",37.794662,-122.422339,"art","ART DEALERS"
"ART FOR PEOPLE",37.793486,-122.421448,"art","ART DEALERS"
"NOE GROCERY",37.765716,-122.433485,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAFEWAY",37.769137,-122.428043,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GOLDEN NATURAL FOODS",37.768859,-122.429456,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ROSENBERG DELI & MARKET",37.764618,-122.433441,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"S & A LIQUOR",37.767736,-122.431377,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"FRANKLIN MARKET",37.767942,-122.42928,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BELCHER STUDIOS GALLERY",37.768185,-122.429823,"art","ART DEALERS"
"MARC GABBANA WORKS OF ART INC",37.763981,-122.435024,"art","ART DEALERS"
"ART ATTACK SF",37.763503,-122.434578,"art","ART DEALERS"
"JOE'S BARBER SHOP",37.767064,-122.43021,"barber","BARBER SHOPS"
"NIMBUS HAIRCUTS",37.767969,-122.429162,"barber","BARBER SHOPS"
"DOUBLE ROCK GROCERY",37.721227,-122.391394,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"W & D WHOLESALE FOOD INC",37.722634,-122.390075,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GIZMO ART PRODUCTION INC",37.721635,-122.391345,"art","ART DEALERS"
"GIF'D CROWNS",37.72102,-122.395925,"barber","BARBER SHOPS"
"SAFEWAY",37.776471,-122.393037,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GUS'S COMMUNITY MARKET",37.774341,-122.391521,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"LITTLE TREE GALLERY",37.765614,-122.394464,"art","ART DEALERS"
"PROJECT ONE GALLERY LLC",37.766757,-122.402451,"art","ART DEALERS"
"COLONIAL ARTS",37.76655,-122.40324,"art","ART DEALERS"
"GAMUT",37.766069,-122.398971,"art","ART DEALERS"
"SMALL ART MUSIC PROJECTS",37.772956,-122.396321,"art","ART DEALERS"
"STELLA TUMASOVA FINE ART GLLRY",37.781676,-122.388563,"art","ART DEALERS"
"ZEPILIN GALLERY",37.767235,-122.403031,"art","ART DEALERS"
"MUSE TEA LLC",37.755275,-122.434841,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"EMERGENT ART",37.753399,-122.435198,"art","ART DEALERS"
"MARKET MAYFLOWER & DELI",37.789437,-122.413358,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"FOOD & LIQUOR WORLD",37.787791,-122.41391,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"TOWN COUNTRY",37.787989,-122.41197,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"7-ELEVEN",37.789025,-122.409084,"grocery","CONVENIENCE STORES"
"FOOD RANGER INC",37.788412,-122.409771,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ROUND THE CLOCK",37.789304,-122.413953,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CANTINA",37.789276,-122.409962,"art","ART DEALERS"
"SPOKE ART",37.788803,-122.413854,"art","ART DEALERS"
"ACADEMY OF ART COLLEGE GALLERY",37.78869,-122.410671,"art","ART DEALERS"
"PASQUALE IANNETTI ART GLLRS",37.789075,-122.409132,"art","ART DEALERS"
"MARK WOLFE CONTEMPORARY ART",37.788843,-122.409392,"art","ART DEALERS"
"BOND LATIN GALLERY",37.788224,-122.409759,"art","ART DEALERS"
"TYLER WOOD GALLERY",37.788801,-122.413348,"art","ART DEALERS"
"HASHIMOTO CONTEMPORARY",37.788803,-122.413854,"art","ART DEALERS"
"STOOKEYS CLUB MODERNE",37.789633,-122.411823,"art","ART DEALERS"
"GALLERY 444",37.788487,-122.409186,"art","ART DEALERS"
